data_envio,esporte,home,away,mercado,odd,stake,stake_sugerida,ev,data_jogo,url_bet
12/06/2025 23:25,Tennis,Juan Carlos Manuel Aguilar,Adit Sinha,Moneyline (Fora),2.37,1.00,1.00,0.1051,13/06/2025 11:00,https://www.bet365.com/#/AC/B13/C21063950/D8/E176242929/F8/
12/06/2025 23:25,Football,Peninsula Power,Grange Thistle,Moneyline (Casa),4.75,0.50,0.50,0.0625,13/06/2025 07:30,https://www.bet365.com/#/AC/B1/C1/D8/E175779345/F3/
12/06/2025 23:25,Football,Essendon Royals,Pascoe Vale,Handicap Asiático (Fora) -1.5,1.93,1.00,1.00,0.0758,13/06/2025 06:30,https://www.bet365.com/#/AC/B1/C1/D8/E175883347/F3/
12/06/2025 23:25,Tennis,Diana Marcinkevica,Fiona Ganz,Moneyline (Fora),1.50,1.00,1.00,0.0553,13/06/2025 05:00,https://www.bet365.com/#/AC/B13/C21063460/D8/E176224905/F8/
12/06/2025 23:25,Football,Real Oruro,The Strongest,Moneyline (Casa),3.50,1.00,1.00,0.0594,14/06/2025 18:30,https://www.bet365.com/#/AC/B1/C1/D8/E176021682/F3/I8/
12/06/2025 23:25,Football,Romania,Montenegro,Moneyline (Fora),5.00,0.50,0.50,0.1166,13/06/2025 15:00,https://www.bet365.com/#/AC/B1/C1/D8/E176054976/F3/
12/06/2025 23:25,Football,Glenorchy Knights,Devonport Strikers,Mais de Gols +6,1.90,1.00,1.00,0.0916,14/06/2025 00:15,https://www.bet365.com/#/AC/B1/C1/D8/E176232698/F3/
12/06/2025 23:26,Volleyball,"Hong Kong, China",Indonesia,Handicap Asiático (Fora) +1.5,1.57,1.00,1.00,0.0642,13/06/2025 02:30,https://www.bet365.com/#/AC/B91/C21064663/D19/E22956363/F19/
12/06/2025 23:26,Football,Glenorchy Knights,Devonport Strikers,Handicap Asiático (Casa) +5.5,1.90,1.00,1.00,0.1619,14/06/2025 00:15,https://www.bet365.com/#/AC/B1/C1/D8/E176232698/F3/
12/06/2025 23:26,Football,Riverside Olympic,Kingborough Lions,Handicap Asiático (Casa) +4.5,1.95,1.00,1.00,0.0887,14/06/2025 03:30,https://www.bet365.com/#/AC/B1/C1/D8/E176119184/F3/
12/06/2025 23:26,Football,Taroona SC,South Hobart,Handicap Asiático (Casa) +5,1.90,1.00,1.00,0.1233,14/06/2025 01:30,https://www.bet365.com/#/AC/B1/C1/D8/E176232520/F3/
12/06/2025 23:26,Tennis,Silvia Ambrosio,Tiantsoa Sarah Rakotomanga Rajaonah,Moneyline (Fora),1.72,1.00,1.00,0.0578,13/06/2025 07:00,https://www.bet365.com/#/AC/B13/C21063650/D8/E176231808/F8/
12/06/2025 23:26,Football,Riverside Olympic,Kingborough Lions,Mais de Gols +5.25,1.97,1.00,1.00,0.1472,14/06/2025 03:30,https://www.bet365.com/#/AC/B1/C1/D8/E176119184/F3/
12/06/2025 23:26,Tennis,Martin Damm,Moritz Kudernatsch,Moneyline (Fora),8.00,0.50,0.50,0.1473,13/06/2025 04:00,https://www.bet365.com/#/AC/B13/C21063859/D8/E176229569/F8/
12/06/2025 23:26,Basketball,Tropang Giga,Timplados Hotshots,Moneyline (Casa),2.25,1.00,1.00,0.0532,13/06/2025 08:30,https://www.bet365.com/#/AC/B18/C21051201/D19/E22871385/F19/
